,CUSTNO,ZIP,ORDER_NO,PRODUCT_NO,PRODUCT_CATEGORY_ID,CHANNEL,OFFER_ID,ORDER_DATE,COST,REVENUE,PAY_METHOD,QUANTITY,RETN_REVENUE
9,10006308569,44451,130053793,985344,P,ML,A12ESB,2012-05-07,190.0,399.95,PC,1,
10,10032833449,82801,123457219,985344,P,ML,A11MSB,2011-07-15,145.0,299.95,MO,1,
12,10086041668,37303,130015241,985344,P,ML,A11LWB,2011-01-29,145.0,299.95,PC,1,
13,10098413927,06078,130681548,985344,P,ML,A12OFM,2012-09-10,190.0,399.95,VI,1,
14,10098944710,02132,130036585,985344,P,ML,A11GFP,2011-11-04,145.0,299.95,PC,1,299.95
16,10123425718,44681,123457268,985344,P,ML,A11PCB,2011-08-09,145.0,299.95,MO,1,
17,10128539729,16509,123457698,985344,P,ML,A11LCR,2012-01-24,145.0,299.95,PC,1,
38,10097118655,43442,130680808,987905,C,ML,A12SMB,2012-07-20,41.05,99.95,MC,1,
39,10102748710,24541,130681305,987905,C,ML,A12OFM,2012-08-16,41.05,99.95,AX,1,
42,10127162334,95132,130050350,987905,C,ML,A12LWB,2012-03-13,41.05,99.95,PC,1,
43,9992127173,23221,130029522,991233,C,ML,A11OFM,2011-08-15,0.0,39.95,PC,1,
44,10025660760,30076,130028130,991233,C,ML,A11PCB,2011-07-28,0.0,39.95,PC,1,
45,10116106441,54241,130029670,991233,C,ML,A11OFM,2011-08-17,0.0,39.95,PC,1,
46,10120303415,67203,130057997,992257,C,ML,A12SMB,2012-07-06,36.0,79.95,PC,1,
57,10118174337,75023,130038971,987394,T,ML,A11GFB,2011-11-21,120.0,269.95,PC,1,
61,10107979484,48840,130044225,991234,S,ML,A11LMB,2011-12-16,12.25,24.95,PC,1,
62,10112082191,47711,130677298,991234,S,ML,A11LCB,2011-12-16,12.25,24.95,VI,1,
63,10126573918,55408,130041582,991234,S,ML,A11LMB,2011-12-03,12.25,24.95,PC,1,
64,10126729149,62040,130042920,991234,S,ML,A11LCB,2011-12-08,12.25,24.95,PC,1,
65,10128224281,97439,130045184,991234,S,ML,A11LMB,2011-12-29,12.25,24.95,PC,1,
66,10130576430,44202,130680211,992258,C,ML,A12SMB,2012-06-14,27.0,69.95,DI,1,
100,10006089918,44072,130035019,984324,T,ML,A11GFP,2011-10-24,21.6,49.9,PC,2,
117,10120631244,65201,130673290,984324,T,ML,A11OFM,2011-08-11,10.8,29.95,DI,1,
118,10124303634,80234,130032426,984324,T,ML,A11EHB,2011-09-26,21.6,59.9,PC,2,29.95
119,10124409307,72120,130032981,984324,T,ML,A11HLB,2011-10-01,10.8,29.95,PC,1,
